request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_77,59953.95,affordable_later,wait,2025-11-14:60700,2025-11-14,none,Pay INR 60700 in full on 14 November 2025. Paying earlier would take the balance below the INR 82200 minimum.
request_78,45939.54,not_affordable,not_recommended,none,2025-11-16,none,"Do not proceed with the INR 50200 request. Although INR 45939.54 is available today, the full amount cannot be completed safely within 90 days."
request_79,693.41,affordable_with_plan,partial_payment,2024-09-04:693.41|2024-10-14:1458.19,2024-10-14,none,Pay EUR 693.41 today and the remaining EUR 1458.19 on 14 October 2024. This completes the full request and keeps the EUR 1000 minimum protected.
request_80,127616.07,not_affordable,not_recommended,none,2025-02-11,none,"Do not proceed with the INR 217500 request. Although INR 127616.07 is available today, the full amount cannot be completed safely within 90 days."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This keeps at least USD 1600 available over the next 90 days.
request_82,291.13,not_affordable,not_recommended,none,2025-02-21,none,"Do not proceed with the USD 1405.20 request. Although USD 291.13 is available today, the full amount cannot be completed safely within 90 days."
request_83,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 June 2025. None of the available options keeps the INR 37800 minimum protected.
request_84,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 June 2026. None of the available options keeps the INR 91300 minimum protected.
request_85,376235.64,not_affordable,not_recommended,none,,none,Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6396300 minimum protected.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This keeps at least INR 84900 available over the next 90 days.
request_87,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 March 2026. None of the available options keeps the INR 185900 minimum protected.
request_88,10715.66,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-14,none,"Use 3 installments of ZAR 9045.23, starting 14 June 2024. This keeps at least ZAR 25800 available."
request_89,9310559.2,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-14,none,"Use 3 installments of IDR 4768746.67, starting 18 November 2025. This keeps at least IDR 12534700 available."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This keeps at least ZAR 7600 available over the next 90 days.
request_91,133.86,not_affordable,not_recommended,none,,none,Do not make this payment by 15 November 2024. None of the available options keeps the EUR 2100 minimum protected.
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. This keeps at least ZAR 28100 available over the next 90 days.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.20 today. This keeps at least USD 1900 available over the next 90 days.
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This keeps at least EUR 600 available over the next 90 days.
request_95,36765.27,not_affordable,not_recommended,none,,none,Do not make this payment by 14 July 2025. None of the available options keeps the INR 145500 minimum protected.
request_96,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 12 March 2026. None of the available options keeps the INR 56500 minimum protected.
request_97,1413.56,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use 3 installments of ZAR 8145.28, starting 19 March 2024. This keeps at least ZAR 29700 available."
request_98,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 October 2025. None of the available options keeps the ZAR 30000 minimum protected.
request_99,17483.23,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,stop:event_9188,Make the ZAR 18062 payment today after stop event_9188. This keeps at least ZAR 49100 available.
request_100,26183.29,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12866.19, starting 13 June 2024. This keeps at least ZAR 32500 available."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This keeps at least INR 187400 available over the next 90 days.
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This keeps at least EUR 900 available."
request_103,16695.8,not_affordable,not_recommended,none,,none,Do not make this payment by 7 October 2024. None of the available options keeps the INR 125500 minimum protected.
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today. This keeps at least ZAR 24700 available over the next 90 days.
request_105,50822.95,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-14,reduce_to:event_9721:1720|reduce_to:event_9720:1632,"Make the INR 53500 payment today after reduce event_9721 to 1720, reduce event_9720 to 1632. This keeps at least INR 73900 available."
request_106,459.01,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,Pay EUR 2207.70 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1200 minimum.
request_107,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 4 July 2025. None of the available options keeps the EUR 1600 minimum protected.
request_108,3381.29,affordable_later,wait,2026-07-21:55308,2026-07-21,none,Pay ZAR 55308 in full on 21 July 2026. Paying earlier would take the balance below the ZAR 24100 minimum.
request_109,583.98,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This keeps at least EUR 1700 available."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 6 August 2025. This keeps at least ZAR 11200 available."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This keeps at least IDR 23022800 available over the next 90 days.
request_112,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 June 2024. None of the available options keeps the EUR 500 minimum protected.
request_113,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 19 October 2026. None of the available options keeps the INR 82300 minimum protected.
request_114,36636.32,not_affordable,not_recommended,none,2026-03-15,none,"Do not proceed with the INR 65300 request. Although INR 36636.32 is available today, the full amount cannot be completed safely within 90 days."
request_115,14845.59,affordable_later,wait,2024-11-13:80500,2024-11-13,none,Pay INR 80500 in full on 13 November 2024. Paying earlier would take the balance below the INR 38800 minimum.
request_116,13862.6,not_affordable,not_recommended,none,,none,Do not make this payment by 16 April 2025. None of the available options keeps the INR 80300 minimum protected.
request_117,857.04,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,reduce_to:event_10878:20.50|stop:event_10833,"Make the EUR 880 payment today after reduce event_10878 to 20.50, stop event_10833. This keeps at least EUR 1000 available."
request_118,590.06,not_affordable,not_recommended,none,2025-02-21,none,"Do not proceed with the EUR 738.10 request. Although EUR 590.06 is available today, the full amount cannot be completed safely within 90 days."
request_119,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 July 2025. None of the available options keeps the INR 151200 minimum protected.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This keeps at least IDR 20050300 available over the next 90 days.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This keeps at least USD 800 available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 5 August 2025. This keeps at least IDR 12588500 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. This keeps at least IDR 18091200 available over the next 90 days.
request_124,1401.89,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-14,none,"Use 3 installments of EUR 1076.12, starting 11 June 2024. This keeps at least EUR 1600 available."
request_125,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 November 2025. None of the available options keeps the ZAR 11300 minimum protected.
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This keeps at least INR 129700 available over the next 90 days.
request_127,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 18 October 2024. None of the available options keeps the ZAR 41000 minimum protected.
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This keeps at least ZAR 42600 available over the next 90 days.
request_129,115.31,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,368.02,not_affordable,not_recommended,none,2025-02-16,none,"Do not proceed with the USD 1978.80 request. Although USD 368.02 is available today, the full amount cannot be completed safely within 90 days."
request_131,1347.54,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-16,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This keeps at least USD 1100 available."
request_132,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 25 February 2026. None of the available options keeps the USD 1100 minimum protected.
request_133,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9986200 minimum protected.
request_134,4370071.25,affordable_later,wait,2025-08-14:21831000,2025-08-14,none,Pay IDR 21831000 in full on 14 August 2025. Paying earlier would take the balance below the IDR 15902500 minimum.
request_135,285.16,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,Make the USD 304.80 payment today after stop event_12413. This keeps at least USD 500 available.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Pay USD 560.40 today. This keeps at least USD 1100 available over the next 90 days.
request_137,25259.55,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. None of the available options keeps the INR 71800 minimum protected.
request_138,1146.36,affordable_with_plan,partial_payment,2026-04-07:1146.36|2026-04-14:110.58,2026-04-14,none,Pay EUR 1146.36 today and the remaining EUR 110.58 on 14 April 2026. This completes the full request and keeps the EUR 2300 minimum protected.
request_139,1716.76,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-14,none,"Use 3 installments of USD 802.88, starting 7 September 2024. This keeps at least USD 1500 available."
request_140,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2025. None of the available options keeps the ZAR 21600 minimum protected.
request_141,22491.03,not_affordable,not_recommended,none,,none,Do not make this payment by 12 February 2026. None of the available options keeps the INR 67300 minimum protected.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.60 today. This keeps at least USD 1700 available over the next 90 days.
request_143,2661.76,not_affordable,not_recommended,none,2025-07-17,none,"Do not proceed with the ZAR 12584 request. Although ZAR 2661.76 is available today, the full amount cannot be completed safely within 90 days."
request_144,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 26 July 2026. None of the available options keeps the USD 600 minimum protected.
request_145,14935.01,not_affordable,not_recommended,none,2024-05-23,none,"Do not proceed with the INR 217400 request. Although INR 14935.01 is available today, the full amount cannot be completed safely within 90 days."
request_146,15799.39,not_affordable,not_recommended,none,,none,Do not make this payment by 17 October 2025. None of the available options keeps the INR 108600 minimum protected.
request_147,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 7 June 2026. None of the available options keeps the EUR 900 minimum protected.
request_148,7086.67,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-14,none,"Use 3 installments of ZAR 7710.56, starting 14 June 2024. This keeps at least ZAR 20000 available."
request_149,24908.85,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-14,none,"Use 3 installments of ZAR 12706.03, starting 18 November 2025. This keeps at least ZAR 42100 available."
request_150,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This keeps at least IDR 31633600 available over the next 90 days.
request_152,11832.37,not_affordable,not_recommended,none,2025-04-15,none,"Do not proceed with the ZAR 13882 request. Although ZAR 11832.37 is available today, the full amount cannot be completed safely within 90 days."
request_153,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 24 September 2026. None of the available options keeps the USD 1400 minimum protected.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This keeps at least EUR 1300 available."
request_155,11926.71,not_affordable,not_recommended,none,,none,Do not make this payment by 20 May 2025. None of the available options keeps the INR 56300 minimum protected.
request_156,11101.03,affordable_later,wait,2026-06-13:43076,2026-06-13,none,Pay ZAR 43076 in full on 13 June 2026. Paying earlier would take the balance below the ZAR 26900 minimum.
request_157,4829298.26,affordable_later,wait,2024-04-17:23503000,2024-04-17,none,Pay IDR 23503000 in full on 17 April 2024. Paying earlier would take the balance below the IDR 15714100 minimum.
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 7 August 2025. This keeps at least INR 131400 available."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 today. This keeps at least ZAR 8700 available over the next 90 days.
request_160,653.32,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This keeps at least EUR 1200 available."
request_161,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23010400 minimum protected.
request_162,2989204.38,not_affordable,not_recommended,none,,none,Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24161100 minimum protected.
request_163,9608876.5,not_affordable,not_recommended,none,2024-11-18,none,"Do not proceed with the IDR 19304000 request. Although IDR 9608876.50 is available today, the full amount cannot be completed safely within 90 days."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 11 February 2025. This keeps at least IDR 29550500 available."
request_165,64967.11,affordable_with_plan,full_payment,2026-04-06:80600,,reduce_to:event_15173:1875|stop:event_15135,"Make the INR 80600 payment today after reduce event_15173 to 1875, stop event_15135. This keeps at least INR 95000 available."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 3 December 2024. This keeps at least USD 1700 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This keeps at least ZAR 31200 available over the next 90 days.
request_168,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 March 2026. None of the available options keeps the INR 114400 minimum protected.
request_169,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 May 2024. None of the available options keeps the ZAR 18700 minimum protected.
request_170,31504927.65,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-13,none,"Use 3 installments of IDR 12804480, starting 6 August 2025. This keeps at least IDR 24715800 available."
request_171,32.62,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500 minimum protected.
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5304, starting 5 June 2024. This keeps at least ZAR 27200 available."
request_173,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 January 2026. None of the available options keeps the INR 79100 minimum protected.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This keeps at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay EUR 2346.30 today. This keeps at least EUR 1700 available over the next 90 days.
request_176,464.4,affordable_later,wait,2025-02-20:1239.70,2025-02-20,none,Pay EUR 1239.70 in full on 20 February 2025. Paying earlier would take the balance below the EUR 600 minimum.
request_177,598.09,affordable_with_plan,full_payment,2026-01-05:1017.60,,reduce_to:event_16317:32,Make the USD 1017.60 payment today after reduce event_16317 to 32. This keeps at least USD 1300 available.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 7 December 2024. This keeps at least EUR 1400 available."
request_179,6533852.58,not_affordable,not_recommended,none,2025-07-17,none,"Do not proceed with the IDR 41648000 request. Although IDR 6533852.58 is available today, the full amount cannot be completed safely within 90 days."
request_180,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2 September 2026. None of the available options keeps the INR 37300 minimum protected.
request_181,390.95,not_affordable,not_recommended,none,2024-05-18,none,"Do not proceed with the USD 5059.20 request. Although USD 390.95 is available today, the full amount cannot be completed safely within 90 days."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This keeps at least ZAR 31100 available over the next 90 days.
request_183,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the IDR 11878300 minimum protected.
request_184,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 30 July 2024. None of the available options keeps the INR 110800 minimum protected.
request_185,405.5,affordable_later,wait,2026-01-13:1257.30,2026-01-13,none,Pay EUR 1257.30 in full on 13 January 2026. Paying earlier would take the balance below the EUR 1300 minimum.
request_186,5203.9,not_affordable,not_recommended,none,,none,Do not make this payment by 15 March 2026. None of the available options keeps the ZAR 22000 minimum protected.
request_187,37452.86,affordable_later,wait,2024-11-14:187500,2024-11-14,none,Pay INR 187500 in full on 14 November 2024. Paying earlier would take the balance below the INR 128300 minimum.
request_188,189.17,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2025. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This keeps at least EUR 400 available over the next 90 days.
request_190,511.68,affordable_later,wait,2024-12-15:2557.50,2024-12-15,none,Pay EUR 2557.50 in full on 15 December 2024. Paying earlier would take the balance below the EUR 1600 minimum.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This keeps at least EUR 500 available over the next 90 days.
request_192,238.23,affordable_later,wait,2026-04-20:2046,2026-04-20,none,Pay USD 2046 in full on 20 April 2026. Paying earlier would take the balance below the USD 1000 minimum.
request_193,28.37,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-18,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This keeps at least EUR 1000 available."
request_194,39011.71,affordable_later,wait,2025-10-13:132800,2025-10-13,none,Pay INR 132800 in full on 13 October 2025. Paying earlier would take the balance below the INR 113600 minimum.
request_195,641.74,not_affordable,not_recommended,none,,none,Do not make this payment by 11 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This keeps at least EUR 500 available over the next 90 days.
